technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1055,Process Injection,privilege-escalation,stealth,,Linux|Windows|macOS,G0010,G0047,G0050,G0067,G0068,G0080,G0082,G0091,G0094,G0096,G0102,G1018,G1023,G1043,G1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1040,3,7
T1567.004,Exfiltration Over Webhook,exfiltration,,,ESXi|Linux|Office Suite|SaaS|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1057,5,5
T1139,Bash History,credential-access,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1205,Traffic Signaling,command-and-control,persistence,stealth,Linux|Network Devices|Windows|macOS,G0094,G0129,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037|M1042,3,7
T1021.008,Direct Cloud VM Connections,lateral-movement,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1042,5,5
T1503,Credentials from Web Browsers,credential-access,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1218,System Binary Proxy Execution,stealth,,,Linux|Windows|macOS,G0032,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1026|M1037|M1038|M1042|M1050,3,7
T1153,Source,execution,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1038,DLL Search Order Hijacking,persistence,privilege-escalation,stealth,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1050,New Service,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1070.006,Timestomp,stealth,,,ESXi|Linux|Windows|macOS,G0007,G0016,G0032,G0050,G0082,G0094,G0106,G0114,G0129,G1023,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8
T1557.004,Evil Twin,collection,credential-access,,Network Devices,G0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1031,5,5
T1620,Reflective Code Loading,stealth,,,Linux|Windows|macOS,G0032,G0046,G0047,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1016.002,Wi-Fi Discovery,discovery,,,Linux|Windows|macOS,G0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1480.002,Mutual Exclusion,stealth,,,Linux|Windows|macOS,G0082,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1055,3,7
T1564.011,Ignore Process Interrupts,stealth,,,Linux|Windows|macOS,G0094,G1041,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1611,Escape to Host,privilege-escalation,,,Containers|ESXi|Linux|Windows,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1038|M1042|M1048|M1051,5,5
T1518.002,Backup Software Discovery,discovery,,,Linux|Windows|macOS,G0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1547.009,Shortcut Modification,persistence,privilege-escalation,,Windows,G0032,G0065,G0078,G0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1038,5,5
T1010,Application Window Discovery,discovery,,,Linux|Windows|macOS,G0032,G1001,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1569.003,Systemctl,execution,,,Linux,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1032,Standard Cryptographic Protocol,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1087.003,Email Account,discovery,,,Office Suite|Windows,G0034,G0059,G0092,G1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1062,Hypervisor,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1497.003,Time Based Checks,discovery,stealth,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1182,AppCert DLLs,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1218.003,CMSTP,stealth,,,Windows,G0069,G0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042,3,7
T1563.001,SSH Hijacking,lateral-movement,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1026|M1027|M1042,5,5
T1562.002,Disable Windows Event Logging,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1029,Scheduled Transfer,exfiltration,,,Linux|Windows|macOS,G0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031,8,2
T1021.002,SMB/Windows Admin Shares,lateral-movement,,,Windows,G0004,G0007,G0009,G0010,G0022,G0028,G0032,G0034,G0050,G0061,G0071,G0087,G0096,G0102,G0108,G0114,G0117,G0143,G1009,G1016,G1021,G1022,G1040,G1043,G1046,G1047,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1027|M1035|M1037,5,5
T1525,Implant Internal Image,persistence,,,Containers|IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1045|M1047,5,5
T1572,Protocol Tunneling,command-and-control,,,ESXi|Linux|Windows|macOS,G0037,G0046,G0049,G0059,G0065,G0080,G0114,G0117,G0129,G1003,G1015,G1016,G1021,G1045,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1218.002,Control Panel,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1038,3,7
T1599.001,Network Address Translation Traversal,defense-impairment,,,Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1027|M1032|M1037|M1043,5,5
T1608.002,Upload Tool,resource-development,,,PRE,G0027,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1547.005,Security Support Provider,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1025,5,5
T1036.011,Overwrite Process Arguments,stealth,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1004,Winlogon Helper DLL,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1009,Binary Padding,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1550,Use Alternate Authentication Material,lateral-movement,,,Containers|IaaS|Identity Provider|Linux|Office Suite|SaaS|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1015|M1018|M1026|M1027|M1036|M1047,5,5
T1076,Remote Desktop Protocol,lateral-movement,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1597.001,Threat Intel Vendors,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1011,Exfiltration Over Other Network Medium,exfiltration,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028|M1042,5,5
T1602.002,Network Device Configuration Dump,collection,,,Network Devices,G1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1030|M1031|M1037|M1041|M1051|M1054,5,5
T1589,Gather Victim Identity Information,reconnaissance,,,PRE,G0050,G0059,G1001,G1004,G1015,G1016,G1017,G1033,G1052,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1131,Authentication Package,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1181,Extra Window Memory Injection,privilege-escalation,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1562.004,Disable or Modify System Firewall,stealth,,,ESXi|Linux|Network Devices|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1560,Archive Collected Data,collection,,,Linux|Windows|macOS,G0001,G0004,G0007,G0032,G0035,G0037,G0040,G0045,G0050,G0065,G1003,G1014,G1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1047,5,5
T1152,Launchctl,execution,persistence,stealth,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1553.003,SIP and Trust Provider Hijacking,defense-impairment,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1024|M1038,5,5
T1483,Domain Generation Algorithms,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1185,Browser Session Hijacking,collection,,,Windows,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018,5,5
T1021,Remote Services,lateral-movement,,,ESXi|IaaS|Linux|Windows|macOS,G0102,G0143,G1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1027|M1032|M1035|M1042|M1047,8,2
T1071.003,Mail Protocols,command-and-control,,,Linux|Network Devices|Windows|macOS,G0007,G0010,G0050,G0083,G0094,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1556.007,Hybrid Identity,credential-access,defense-impairment,persistence,IaaS|Identity Provider|Office Suite|SaaS|Windows,G0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1032|M1047,5,5
T1595.002,Vulnerability Scanning,reconnaissance,,,PRE,G0007,G0016,G0034,G0035,G0059,G0065,G0096,G0123,G0139,G0143,G1003,G1006,G1035,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1059.009,Cloud API,execution,,,IaaS|Identity Provider|Office Suite|SaaS,G0016,G0139,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1038,5,5
T1596,Search Open Technical Databases,reconnaissance,,,PRE,G0007,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1218.015,Electron Applications,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042|M1050,3,7
T1562.012,Disable or Modify Linux Audit System,stealth,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1207,Rogue Domain Controller,defense-impairment,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1553.006,Code Signing Policy Modification,defense-impairment,,,Windows|macOS,G0010,G0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1024|M1026|M1046,5,5
T1610,Deploy Container,execution,,,Containers,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1030|M1035|M1047,5,5
T1107,File Deletion,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1145,Private Keys,credential-access,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1112,Modify Registry,defense-impairment,persistence,,Windows,G0010,G0027,G0030,G0035,G0040,G0047,G0049,G0050,G0059,G0061,G0073,G0078,G0082,G0091,G0092,G0094,G0096,G0102,G0108,G0119,G0143,G1003,G1006,G1014,G1017,G1031,G1043,G1044,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1024,5,5
T1543.004,Launch Daemon,persistence,privilege-escalation,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1580,Cloud Infrastructure Discovery,discovery,,,IaaS,G1015,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1555.003,Credentials from Web Browsers,credential-access,,,Linux|Windows|macOS,G0021,G0022,G0034,G0037,G0038,G0040,G0049,G0064,G0067,G0069,G0077,G0092,G0094,G0096,G0100,G0128,G0130,G1001,G1004,G1017,G1026,G1039,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1021|M1027|M1051,5,5
T1574.008,Path Interception by Search Order Hijacking,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1038|M1047,3,7
T1491,Defacement,impact,,,ESXi|IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1053,5,5
T1535,Unused/Unsupported Cloud Regions,stealth,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1054,3,7
T1557.003,DHCP Spoofing,collection,credential-access,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1155,AppleScript,execution,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1563,Remote Service Session Hijacking,lateral-movement,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026|M1027|M1030|M1042,8,2
T1564.013,Bind Mounts,stealth,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1027.001,Binary Padding,stealth,,,Linux|Windows|macOS,G0002,G0016,G0040,G0060,G0065,G0094,G0126,G1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1505.003,Web Shell,persistence,,,Linux|Network Devices|Windows|macOS,G0007,G0009,G0016,G0027,G0034,G0035,G0049,G0050,G0059,G0065,G0081,G0082,G0087,G0093,G0094,G0117,G0123,G0125,G0129,G0131,G0135,G1003,G1009,G1012,G1016,G1017,G1023,G1030,G1041,G1043,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1042,5,5
T1484.001,Group Policy Modification,defense-impairment,privilege-escalation,,Windows,G0096,G0119,G1021,G1053,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1685.006,Clear Linux or Mac System Logs,defense-impairment,,,Linux|macOS,G0106,G0139,G1041,G1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1041,5,5
T1217,Browser Information Discovery,discovery,,,Linux|Windows|macOS,G0082,G0094,G0114,G0117,G1015,G1017,G1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1552.004,Private Keys,credential-access,,,Linux|Network Devices|Windows|macOS,G0094,G0106,G0139,G1015,G1017,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1027|M1041|M1047,5,5
T1583.004,Server,resource-development,,,PRE,G0034,G0093,G0094,G1006,G1012,G1020,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1021.006,Windows Remote Management,lateral-movement,,,Windows,G0027,G0102,G0114,G1016,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1030|M1042,8,2
T1011.001,Exfiltration Over Bluetooth,exfiltration,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028|M1042,5,5
T1078.001,Default Accounts,initial-access,persistence,privilege-escalation,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,G0059,G1003,G1016,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027|M1032,3,7
T1547.003,Time Providers,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1024,5,5
T1183,Image File Execution Options Injection,persistence,privilege-escalation,stealth,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1085,Rundll32,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8
T1031,Modify Existing Service,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1546.005,Trap,persistence,privilege-escalation,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1574.006,Dynamic Linker Hijacking,execution,stealth,,Linux|macOS,G0096,G0106,G0143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028|M1038,3,7
T1136.001,Local Account,persistence,,,Containers|ESXi|Linux|Network Devices|Windows|macOS,G0022,G0035,G0059,G0077,G0087,G0094,G0096,G0102,G0117,G0119,G0139,G1016,G1023,G1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1032,5,5
T1681,Search Threat Vendor Data,reconnaissance,,,PRE,G1048,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
